FBREF_NAME,ODDS_PORTAL_NAME,PRIMARY_COLOR,SECONDARY_COLOR
Arsenal,Arsenal,#EF0107,#FFFFFF
Aston Villa,Aston Villa,#95BFE5,#490A3D
Bournemouth,Bournemouth,#E62333,#000000
Brentford,Brentford,#FFD700,#000000
Brighton,Brighton,#0057B8,#FFFFFF
Burnley,Burnley,#6C1D45,#99D6EA
Chelsea,Chelsea,#034694,#DBA111
Crystal Palace,Crystal Palace,#1B458F,#C4122E
Everton,Everton,#003399,#FFFFFF
Fulham,Fulham,#FFFFFF,#000000
Huddersfield,Huddersfield,#0073C2,#FFFFFF
Liverpool,Liverpool,#C8102E,#F6EB61
Manchester City,Manchester City,#6CABDD,#1C2C5B
Manchester Utd,Manchester Utd,#E20E2D,#FFE500
Middlesbrough,Middlesbrough,#FF0000,#FFFFFF
QPR,QPR,#1C2C8C,#FFFFFF
Reading,Reading,#004D98,#FFFFFF
Sheffield Utd,Sheffield Utd,#EE2737,#FFFFFF
Southampton,Southampton,#D71920,#FFFFFF
Sunderland,Sunderland,#FF0000,#FFFFFF
Tottenham,Tottenham,#001C58,#FFFFFF
Watford,Watford,#FBEE23,#ED2127
West Brom,West Brom,#091453,#FFFFFF
West Ham,West Ham,#7A263A,#FFFFFF
Wolves,Wolves,#FDB913,#231F20
Swansea City,Swansea,#FFFFFF,#000000
Leeds United,Leeds,#FFCD00,#1C2C5B
Hull City,Hull,#FFC61A,#000000
Norwich City,Norwich,#00A650,#FFF200
Wigan Athletic,Wigan,#1C2C8C,#FFFFFF
Stoke City,Stoke,#E03A3E,#FFFFFF
Cardiff City,Cardiff,#0047A0,#FFFFFF
Newcastle Utd,Newcastle,#000000,#FFFFFF
Leicester City,Leicester,#0053A0,#FDBE11
